tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36277,7725,8780210,146063,2017-08-01 16:23:56+00:00
892177421306343426,31270,5710,8780210,146063,2017-08-01 00:17:27+00:00
891815181378084864,23543,3785,8780210,146063,2017-07-31 00:18:03+00:00
891689557279858688,39552,7870,8780210,146063,2017-07-30 15:58:51+00:00
891327558926688256,37762,8496,8780210,146063,2017-07-29 16:00:24+00:00
891087950875897856,19027,2843,8780210,146063,2017-07-29 00:08:17+00:00
890971913173991426,11078,1854,8780210,146063,2017-07-28 16:27:12+00:00
890729181411237888,61096,17232,8780210,146063,2017-07-28 00:22:40+00:00
890609185150312448,26185,3921,8780210,146063,2017-07-27 16:25:51+00:00
890240255349198849,29915,6707,8780210,146063,2017-07-26 15:59:51+00:00
890006608113172480,28801,6699,8780210,146063,2017-07-26 00:31:25+00:00
889880896479866881,26207,4559,8780211,146063,2017-07-25 16:11:53+00:00
889665388333682689,45117,9147,8780211,146063,2017-07-25 01:55:32+00:00
889638837579907072,25390,4100,8780211,146063,2017-07-25 00:10:02+00:00
889531135344209921,14205,2060,8780211,146063,2017-07-24 17:02:04+00:00
889278841981685760,23645,4869,8780211,146063,2017-07-24 00:19:32+00:00
888917238123831296,27326,4110,8780211,146063,2017-07-23 00:22:39+00:00
888804989199671297,24017,3877,8780211,146063,2017-07-22 16:56:37+00:00
888554962724278272,18554,3181,8780211,146063,2017-07-22 00:23:06+00:00
888078434458587136,20439,3164,8780212,146063,2017-07-20 16:49:33+00:00
887705289381826560,28390,4916,8780212,146063,2017-07-19 16:06:48+00:00
887517139158093824,43562,10760,8780212,146063,2017-07-19 03:39:09+00:00
887473957103951883,64553,16444,8780212,146063,2017-07-19 00:47:34+00:00
887343217045368832,31602,9563,8780212,146063,2017-07-18 16:08:03+00:00
887101392804085760,28760,5448,8780212,146063,2017-07-18 00:07:08+00:00
886983233522544640,32815,7013,8780212,146063,2017-07-17 16:17:36+00:00
886736880519319552,11254,2937,8780212,146063,2017-07-16 23:58:41+00:00
886680336477933568,21106,4084,8780212,146063,2017-07-16 20:14:00+00:00
886366144734445568,19866,2893,8780212,146063,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8780212,146063,2017-07-15 16:51:35+00:00
886258384151887873,26291,5767,8780212,146063,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8780212,146063,2017-07-15 02:45:48+00:00
885984800019947520,30585,6138,8780212,146063,2017-07-14 22:10:11+00:00
885528943205470208,33766,5840,8779674,146062,2017-07-13 15:58:47+00:00
885518971528720385,19243,3408,8780212,146063,2017-07-13 15:19:09+00:00
885311592912609280,0,16927,8780212,146063,2017-07-13 01:35:06+00:00
885167619883638784,20560,3996,8780211,146063,2017-07-12 16:03:00+00:00
884925521741709313,72391,16541,8780211,146063,2017-07-12 00:01:00+00:00
884876753390489601,26156,5104,8780211,146063,2017-07-11 20:47:12+00:00
884562892145688576,22808,4298,8780211,146063,2017-07-11 00:00:02+00:00
884441805382717440,25438,5206,8780210,146063,2017-07-10 15:58:53+00:00
884247878851493888,68164,18579,8780210,146063,2017-07-10 03:08:17+00:00
884162670584377345,19165,2738,8780210,146063,2017-07-09 21:29:42+00:00
883838122936631299,20528,3142,8780210,146063,2017-07-09 00:00:04+00:00
883482846933004288,43021,9030,8780210,146063,2017-07-08 00:28:19+00:00
883360690899218434,21300,3384,8780210,146063,2017-07-07 16:22:55+00:00
883117836046086144,34841,6069,8780210,146063,2017-07-07 00:17:54+00:00
882992080364220416,22432,3561,8780210,146063,2017-07-06 15:58:11+00:00
882762694511734784,26557,4475,8780210,146063,2017-07-06 00:46:41+00:00
882627270321602560,26296,5556,8780210,146063,2017-07-05 15:48:34+00:00
882268110199369728,42116,10579,8780210,146063,2017-07-04 16:01:23+00:00
882045870035918850,27533,4469,8780210,146063,2017-07-04 01:18:17+00:00
881906580714921986,22855,3110,8780210,146063,2017-07-03 16:04:48+00:00
881666595344535552,47566,9765,8780210,146063,2017-07-03 00:11:11+00:00
881633300179243008,118,7,8780210,146063,2017-07-02 21:58:53+00:00
881536004380872706,46465,14599,8780210,146063,2017-07-02 15:32:16+00:00
881268444196462592,21834,4821,8780210,146063,2017-07-01 21:49:04+00:00
880935762899988482,16041,2552,8780210,146063,2017-06-30 23:47:07+00:00
880872448815771648,19996,3504,8780210,146063,2017-06-30 19:35:32+00:00
880465832366813184,26773,5689,8780210,146063,2017-06-29 16:39:47+00:00
880221127280381952,25334,3812,8780210,146063,2017-06-29 00:27:25+00:00
880095782870896641,25961,3972,8780210,146063,2017-06-28 16:09:20+00:00
879862464715927552,21020,3203,8780210,146063,2017-06-28 00:42:13+00:00
879674319642796034,296,10,8780210,146063,2017-06-27 12:14:36+00:00
879492040517615616,22065,2915,8780210,146063,2017-06-27 00:10:17+00:00
879415818425184262,99409,40628,8780210,146063,2017-06-26 19:07:24+00:00
879376492567855104,15792,2862,8780210,146063,2017-06-26 16:31:08+00:00
879130579576475649,0,6230,8780210,146063,2017-06-26 00:13:58+00:00
879050749262655488,21177,4296,8780210,146063,2017-06-25 18:56:45+00:00
879008229531029506,17857,2458,8780210,146063,2017-06-25 16:07:47+00:00
878776093423087618,18195,3745,8780210,146063,2017-06-25 00:45:22+00:00
878604707211726852,28339,6509,8780210,146063,2017-06-24 13:24:20+00:00
878404777348136964,0,1178,8780210,146063,2017-06-24 00:09:53+00:00
878316110768087041,0,6104,8780210,146063,2017-06-23 18:17:33+00:00
878281511006478336,7271,1178,8780210,146063,2017-06-23 16:00:04+00:00
878057613040115712,39601,6230,8780210,146063,2017-06-23 01:10:23+00:00
877736472329191424,74558,17373,8780210,146063,2017-06-22 03:54:17+00:00
877611172832227328,0,73,8780210,146063,2017-06-21 19:36:23+00:00
877556246731214848,21361,3494,8780210,146063,2017-06-21 15:58:08+00:00
877316821321428993,25770,4772,8780210,146063,2017-06-21 00:06:44+00:00
877201837425926144,25499,5120,8780210,146063,2017-06-20 16:29:50+00:00
876838120628539392,19477,3059,8780210,146063,2017-06-19 16:24:33+00:00
876537666061221889,22254,4304,8780210,146063,2017-06-18 20:30:39+00:00
876484053909872640,17669,2178,8780210,146063,2017-06-18 16:57:37+00:00
876120275196170240,26348,4292,8780210,146063,2017-06-17 16:52:05+00:00
875747767867523072,23696,3919,8780210,146063,2017-06-16 16:11:53+00:00
875144289856114688,20637,4512,8780210,146063,2017-06-15 00:13:52+00:00
875097192612077568,25866,5591,8780210,146063,2017-06-14 21:06:43+00:00
875021211251597312,24023,4341,8780210,146063,2017-06-14 16:04:48+00:00
874680097055178752,26206,4262,8780210,146063,2017-06-13 17:29:20+00:00
874434818259525634,0,13373,8780210,146063,2017-06-13 01:14:41+00:00
874296783580663808,24570,3780,8780210,146063,2017-06-12 16:06:11+00:00
874057562936811520,21431,3664,8780210,146063,2017-06-12 00:15:36+00:00
874012996292530176,32360,9447,8780210,146063,2017-06-11 21:18:31+00:00
873580283840344065,22858,3624,8780210,146063,2017-06-10 16:39:04+00:00
873337748698140672,0,1473,8780210,146063,2017-06-10 00:35:19+00:00
873213775632977920,6767,1473,8780210,146063,2017-06-09 16:22:42+00:00
872967104147763200,25769,4997,8780210,146063,2017-06-09 00:02:31+00:00
872820683541237760,13930,3434,8780210,146063,2017-06-08 14:20:41+00:00
872620804844003328,19569,3366,8780210,146063,2017-06-08 01:06:27+00:00
872486979161796608,38528,8347,8780210,146063,2017-06-07 16:14:40+00:00
872122724285648897,32471,7480,8780210,146063,2017-06-06 16:07:15+00:00
871879754684805121,35564,10165,8780210,146063,2017-06-06 00:01:46+00:00
871762521631449091,19138,3233,8780210,146063,2017-06-05 16:15:56+00:00
871515927908634625,19105,3221,8780210,146063,2017-06-04 23:56:03+00:00
871166179821445120,0,5290,8780210,146063,2017-06-04 00:46:17+00:00
871102520638267392,19815,5112,8780210,146063,2017-06-03 20:33:19+00:00
871032628920680449,21550,3550,8780210,146063,2017-06-03 15:55:36+00:00
870804317367881728,31880,5740,8780210,146063,2017-06-03 00:48:22+00:00
870726314365509632,115,3,8780210,146063,2017-06-02 19:38:25+00:00
870656317836468226,11722,2453,8780210,146063,2017-06-02 15:00:16+00:00
870374049280663552,78675,24584,8780210,146063,2017-06-01 20:18:38+00:00
870308999962521604,20788,3860,8780210,146063,2017-06-01 16:00:09+00:00
870063196459192321,34661,7729,8780210,146063,2017-05-31 23:43:25+00:00
869772420881756160,40364,9403,8780210,146063,2017-05-31 04:27:59+00:00
869702957897576449,26825,5867,8780210,146063,2017-05-30 23:51:58+00:00
869596645499047938,15160,2907,8780210,146063,2017-05-30 16:49:31+00:00
869227993411051520,19405,3521,8780210,146063,2017-05-29 16:24:37+00:00
868880397819494401,62191,13453,8780210,146063,2017-05-28 17:23:24+00:00
868639477480148993,0,1938,8780210,146063,2017-05-28 01:26:04+00:00
868622495443632128,25390,4948,8780210,146063,2017-05-28 00:18:35+00:00
868552278524837888,9601,1938,8780210,146063,2017-05-27 19:39:34+00:00
867900495410671616,23034,3908,8780210,146063,2017-05-26 00:29:37+00:00
867774946302451713,32362,6874,8780210,146063,2017-05-25 16:10:44+00:00
867421006826221569,15326,2327,8780210,146063,2017-05-24 16:44:18+00:00
867072653475098625,0,112,8780210,146063,2017-05-23 17:40:04+00:00
867051520902168576,30713,7379,8780210,146063,2017-05-23 16:16:06+00:00
866720684873056260,19113,4489,8780211,146063,2017-05-22 18:21:28+00:00
866686824827068416,18401,3273,8780211,146063,2017-05-22 16:06:55+00:00
866450705531457537,116602,33029,8780211,146063,2017-05-22 00:28:40+00:00
866334964761202691,50042,13373,8780211,146063,2017-05-21 16:48:45+00:00
